Sequence,Character,Hex
"\Tw",◁,U+25C1,1
"\Tw",▷,U+25B7,2
"\Tw",△,U+25B3,3
"\Tw",▽,U+25BD,4
"\sq",■,U+25A0,1
"\sq",□,U+25A1,2
"\sq",◼,U+25FC,3
"\sq",◻,U+25FB,4
"\sq",◾,U+25FE,5
"\sq",◽,U+25FD,6
"\sq",▣,U+25A3,7
"\sq",▢,U+25A2,8
"\sq",▤,U+25A4,9
"\sq",▥,U+25A5,10
"\sq",▦,U+25A6,11
"\sq",▧,U+25A7,12
"\sq",▨,U+25A8,13
"\sq",▩,U+25A9,14
"\sq",◧,U+25E7,15
"\sq",◨,U+25E8,16
"\sq",◩,U+25E9,17
"\sq",◪,U+25EA,18
"\sq",◫,U+25EB,19
"\sq",◰,U+25F0,20
"\sq",◱,U+25F1,21
"\sq",◲,U+25F2,22
"\sq",◳,U+25F3,23
"\sqb",■,U+25A0,1
"\sqb",◼,U+25FC,2
"\sqb",◾,U+25FE,3
"\sqw",□,U+25A1,1
"\sqw",◻,U+25FB,2
"\sqw",◽,U+25FD,3
"\sq.",▣,U+25A3,1
"\sqo",▢,U+25A2,1
"\re",▬,U+25AC,1
"\re",▭,U+25AD,2
"\re",▮,U+25AE,3
"\re",▯,U+25AF,4
"\reb",▬,U+25AC,1
"\reb",▮,U+25AE,2
"\rew",▭,U+25AD,1
"\rew",▯,U+25AF,2
"\pa",▰,U+25B0,1
"\pa",▱,U+25B1,2
"\pab",▰,U+25B0,1
"\paw",▱,U+25B1,1
"\di",◆,U+25C6,1
"\di",◇,U+25C7,2
"\di",◈,U+25C8,3
"\dib",◆,U+25C6,1
"\diw",◇,U+25C7,1
"\di.",◈,U+25C8,1
"\ci",●,U+25CF,1
"\ci",○,U+25CB,2
"\ci",◎,U+25CE,3
"\ci",◌,U+25CC,4
"\ci",◯,U+25EF,5
"\ci",◍,U+25CD,6
"\ci",◐,U+25D0,7
"\ci",◑,U+25D1,8
"\ci",◒,U+25D2,9
"\ci",◓,U+25D3,10
"\ci",◔,U+25D4,11
"\ci",◕,U+25D5,12
"\ci",◖,U+25D6,13
"\ci",◗,U+25D7,14
"\ci",◠,U+25E0,15
"\ci",◡,U+25E1,16
"\ci",◴,U+25F4,17
"\ci",◵,U+25F5,18
"\ci",◶,U+25F6,19
"\ci",◷,U+25F7,20
"\ci",⚆,U+2686,21
"\ci",⚇,U+2687,22
"\ci",⚈,U+2688,23
"\ci",⚉,U+2689,24
"\cib",●,U+25CF,1
"\ciw",○,U+25CB,1
"\ci.",◎,U+25CE,1
"\ci..",◌,U+25CC,1
"\ciO",◯,U+25EF,1
"\st",⋆,U+22C6,1
"\st",✦,U+2726,2
"\st",✧,U+2727,3
"\st",✶,U+2736,4
"\st",✴,U+2734,5
"\st",✹,U+2739,6
"\st",★,U+2605,7
"\st",☆,U+2606,8
"\st",✪,U+272A,9
"\st",✫,U+272B,10
"\st",✯,U+272F,11
"\st",✰,U+2730,12
"\st",✵,U+2735,13
"\st",✷,U+2737,14
"\st",✸,U+2738,15
"\st4",✦,U+2726,1
"\st4",✧,U+2727,2
"\st6",✶,U+2736,1
"\st8",✴,U+2734,1
"\st12",✹,U+2739,1
"\bA",𝔸,U+1D538,1
"\bB",𝔹,U+1D539,1
"\bC",ℂ,U+2102,1
"\bD",𝔻,U+1D53B,1
"\bE",𝔼,U+1D53C,1
"\bF",𝔽,U+1D53D,1
"\bG",𝔾,U+1D53E,1
"\bH",ℍ,U+210D,1
"\bI",𝕀,U+1D540,1
"\bJ",𝕁,U+1D541,1
"\bK",𝕂,U+1D542,1
"\bL",𝕃,U+1D543,1
"\bM",𝕄,U+1D544,1
"\bN",ℕ,U+2115,1
"\bO",𝕆,U+1D546,1
"\bP",ℙ,U+2119,1
"\bQ",ℚ,U+211A,1
"\bR",ℝ,U+211D,1
"\bS",𝕊,U+1D54A,1
"\bT",𝕋,U+1D54B,1
"\bU",𝕌,U+1D54C,1
"\bV",𝕍,U+1D54D,1
"\bW",𝕎,U+1D54E,1
"\bX",𝕏,U+1D54F,1
"\bY",𝕐,U+1D550,1
"\bZ",ℤ,U+2124,1
"\bGG",ℾ,U+213E,1
"\bGP",ℿ,U+213F,1
"\bGS",⅀,U+2140,1
"\ba",𝕒,U+1D552,1
"\bb",𝕓,U+1D553,1
"\bc",𝕔,U+1D554,1
"\bd",𝕕,U+1D555,1
"\be",𝕖,U+1D556,1
"\bf",𝕗,U+1D557,1
"\bg",𝕘,U+1D558,1
"\bh",𝕙,U+1D559,1
"\bi",𝕚,U+1D55A,1
"\bj",𝕛,U+1D55B,1
"\bk",𝕜,U+1D55C,1
"\bl",𝕝,U+1D55D,1
"\bm",𝕞,U+1D55E,1
"\bn",𝕟,U+1D55F,1
"\bo",𝕠,U+1D560,1
"\bp",𝕡,U+1D561,1
"\bq",𝕢,U+1D562,1
"\br",𝕣,U+1D563,1
"\bs",𝕤,U+1D564,1
"\bt",𝕥,U+1D565,1
"\bu",𝕦,U+1D566,1
"\bv",𝕧,U+1D567,1
"\bw",𝕨,U+1D568,1
"\bx",𝕩,U+1D569,1
"\by",𝕪,U+1D56A,1
"\bz",𝕫,U+1D56B,1
"\bGg",ℽ,U+213D,1
"\bGp",ℼ,U+213C,1
"\b0",𝟘,U+1D7D8,1
"\b1",𝟙,U+1D7D9,1
"\b2",𝟚,U+1D7DA,1
"\b3",𝟛,U+1D7DB,1
"\b4",𝟜,U+1D7DC,1
"\b5",𝟝,U+1D7DD,1
"\b6",𝟞,U+1D7DE,1
"\b7",𝟟,U+1D7DF,1
"\b8",𝟠,U+1D7E0,1
"\b9",𝟡,U+1D7E1,1
"\BA",𝐀,U+1D400,1
"\BB",𝐁,U+1D401,1
"\BC",𝐂,U+1D402,1
"\BD",𝐃,U+1D403,1
"\BE",𝐄,U+1D404,1
"\BF",𝐅,U+1D405,1
"\BG",𝐆,U+1D406,1
"\BH",𝐇,U+1D407,1
"\BI",𝐈,U+1D408,1
"\BJ",𝐉,U+1D409,1
"\BK",𝐊,U+1D40A,1
"\BL",𝐋,U+1D40B,1
"\BM",𝐌,U+1D40C,1
"\BN",𝐍,U+1D40D,1
"\BO",𝐎,U+1D40E,1
"\BP",𝐏,U+1D40F,1
"\BQ",𝐐,U+1D410,1
"\BR",𝐑,U+1D411,1
"\BS",𝐒,U+1D412,1
"\BT",𝐓,U+1D413,1
"\BU",𝐔,U+1D414,1
"\BV",𝐕,U+1D415,1
"\BW",𝐖,U+1D416,1
"\BX",𝐗,U+1D417,1
"\BY",𝐘,U+1D418,1
"\BZ",𝐙,U+1D419,1
"\Ba",𝐚,U+1D41A,1
"\Bb",𝐛,U+1D41B,1
"\Bc",𝐜,U+1D41C,1
"\Bd",𝐝,U+1D41D,1
"\Be",𝐞,U+1D41E,1
"\Bf",𝐟,U+1D41F,1
"\Bg",𝐠,U+1D420,1
"\Bh",𝐡,U+1D421,1
"\Bi",𝐢,U+1D422,1
"\Bj",𝐣,U+1D423,1
"\Bk",𝐤,U+1D424,1
"\Bl",𝐥,U+1D425,1
"\Bm",𝐦,U+1D426,1
"\Bn",𝐧,U+1D427,1
"\Bo",𝐨,U+1D428,1
"\Bp",𝐩,U+1D429,1
"\Bq",𝐪,U+1D42A,1
"\Br",𝐫,U+1D42B,1
"\Bs",𝐬,U+1D42C,1
"\Bt",𝐭,U+1D42D,1
"\Bu",𝐮,U+1D42E,1
"\Bv",𝐯,U+1D42F,1
"\Bw",𝐰,U+1D430,1
"\Bx",𝐱,U+1D431,1
"\By",𝐲,U+1D432,1
"\Bz",𝐳,U+1D433,1
"\BGA",𝚨,U+1D6A8,1
"\BGB",𝚩,U+1D6A9,1
"\BGC",𝚾,U+1D6BE,1
"\BGD",𝚫,U+1D6AB,1
"\BGE",𝚬,U+1D6AC,1
"\BGG",𝚪,U+1D6AA,1
"\BGH",𝚮,U+1D6AE,1
"\BGI",𝚰,U+1D6B0,1
"\BGK",𝚱,U+1D6B1,1
"\BGL",𝚲,U+1D6B2,1
"\BGM",𝚳,U+1D6B3,1
"\BGN",𝚴,U+1D6B4,1
"\BGO",𝛀,U+1D6C0,1
"\BOmicron",𝚶,U+1D6B6,1
"\BGF",𝚽,U+1D6BD,1
"\BPi",𝚷,U+1D6B7,1
"\BGP",𝚿,U+1D6BF,1
"\BGR",𝚸,U+1D6B8,1
"\BGS",𝚺,U+1D6BA,1
"\BGT",𝚻,U+1D6BB,1
"\BGTH",𝚯,U+1D6AF,1
"\BGU",𝚼,U+1D6BC,1
"\BGX",𝚵,U+1D6B5,1
"\BGZ",𝚭,U+1D6AD,1
"\BGa",𝛂,U+1D6C2,1
"\BGb",𝛃,U+1D6C3,1
"\BGc",𝛘,U+1D6D8,1
"\BGd",𝛅,U+1D6C5,1
"\BGe",𝛆,U+1D6C6,1
"\BGg",𝛄,U+1D6C4,1
"\BGh",𝛈,U+1D6C8,1
"\BGi",𝛊,U+1D6CA,1
"\BGk",𝛋,U+1D6CB,1
"\BGl",𝛌,U+1D6CC,1
"\BGm",𝛍,U+1D6CD,1
"\BGn",𝛎,U+1D6CE,1
"\BGo",𝛚,U+1D6DA,1
"\Bomicron",𝛐,U+1D6D0,1
"\BGf",𝛗,U+1D6D7,1
"\Bpi",𝛑,U+1D6D1,1
"\BGp",𝛙,U+1D6D9,1
"\BGr",𝛒,U+1D6D2,1
"\BGs",𝛔,U+1D6D4,1
"\BGt",𝛕,U+1D6D5,1
"\BGth",𝛉,U+1D6C9,1
"\BGu",𝛖,U+1D6D6,1
"\BGx",𝛏,U+1D6CF,1
"\BGz",𝛇,U+1D6C7,1
"\B0",𝟎,U+1D7CE,1
"\B1",𝟏,U+1D7CF,1
"\B2",𝟐,U+1D7D0,1
"\B3",𝟑,U+1D7D1,1
"\B4",𝟒,U+1D7D2,1
"\B5",𝟓,U+1D7D3,1
"\B6",𝟔,U+1D7D4,1
"\B7",𝟕,U+1D7D5,1
"\B8",𝟖,U+1D7D6,1
"\B9",𝟗,U+1D7D7,1
"\FA",Ａ,U+FF21,1
"\FB",Ｂ,U+FF22,1
"\FC",Ｃ,U+FF23,1
"\FD",Ｄ,U+FF24,1
"\FE",Ｅ,U+FF25,1
"\FF",Ｆ,U+FF26,1
"\FG",Ｇ,U+FF27,1
"\FH",Ｈ,U+FF28,1
"\FI",Ｉ,U+FF29,1
"\FJ",Ｊ,U+FF2A,1
"\FK",Ｋ,U+FF2B,1
"\FL",Ｌ,U+FF2C,1
"\FM",Ｍ,U+FF2D,1
"\FN",Ｎ,U+FF2E,1
"\FO",Ｏ,U+FF2F,1
"\FP",Ｐ,U+FF30,1
"\FQ",Ｑ,U+FF31,1
"\FR",Ｒ,U+FF32,1
"\FS",Ｓ,U+FF33,1
"\FT",Ｔ,U+FF34,1
"\FU",Ｕ,U+FF35,1
"\FV",Ｖ,U+FF36,1
"\FW",Ｗ,U+FF37,1
"\FX",Ｘ,U+FF38,1
"\FY",Ｙ,U+FF39,1
"\FZ",Ｚ,U+FF3A,1
"\Fa",ａ,U+FF41,1
"\Fb",ｂ,U+FF42,1
"\Fc",ｃ,U+FF43,1
"\Fd",ｄ,U+FF44,1
"\Fe",ｅ,U+FF45,1
"\Ff",ｆ,U+FF46,1
"\Fg",ｇ,U+FF47,1
"\Fh",ｈ,U+FF48,1
"\Fi",ｉ,U+FF49,1
"\Fj",ｊ,U+FF4A,1
"\Fk",ｋ,U+FF4B,1
"\Fl",ｌ,U+FF4C,1
"\Fm",ｍ,U+FF4D,1
"\Fn",ｎ,U+FF4E,1
"\Fo",ｏ,U+FF4F,1
"\Fp",ｐ,U+FF50,1
"\Fq",ｑ,U+FF51,1
"\Fr",ｒ,U+FF52,1
"\Fs",ｓ,U+FF53,1
"\Ft",ｔ,U+FF54,1
"\Fu",ｕ,U+FF55,1
"\Fv",ｖ,U+FF56,1
"\Fw",ｗ,U+FF57,1
"\Fx",ｘ,U+FF58,1
"\Fy",ｙ,U+FF59,1
"\Fz",ｚ,U+FF5A,1
"\F0",０,U+FF10,1
"\F1",１,U+FF11,1
"\F2",２,U+FF12,1
"\F3",３,U+FF13,1
"\F4",４,U+FF14,1
"\F5",５,U+FF15,1
"\F6",６,U+FF16,1
"\F7",７,U+FF17,1
"\F8",８,U+FF18,1
"\F9",９,U+FF19,1
"\F!",！,U+FF01,1
"\F\"",＂,U+FF02,1
"\F#",＃,U+FF03,1
"\F$",＄,U+FF04,1
"\F%",％,U+FF05,1
"\F&",＆,U+FF06,1
"\F'",＇,U+FF07,1
"\F(",（,U+FF08,1
"\F)",）,U+FF09,1
"\F*",＊,U+FF0A,1
"\F+",＋,U+FF0B,1
"\F,",，,U+FF0C,1
"\F-",－,U+FF0D,1
"\F.",．,U+FF0E,1
"\F/",／,U+FF0F,1
"\F:",：,U+FF1A,1
"\F;",；,U+FF1B,1
"\F<",＜,U+FF1C,1
"\F=",＝,U+FF1D,1
"\F>",＞,U+FF1E,1
"\F?",？,U+FF1F,1
"\F@",＠,U+FF20,1
"\F[",［,U+FF3B,1
"\F\\",＼,U+FF3C,1
"\F]",］,U+FF3D,1
"\F_",＿,U+FF3F,1
"\F{",｛,U+FF5B,1
"\F|",｜,U+FF5C,1
"\F}",｝,U+FF5D,1
"\F~",～,U+FF5E,1
"\F((",｟,U+FF5F,1
"\F))",｠,U+FF60,1
"\Fneg",￢,U+FFE2,1
"\(",(,U+0028,1
"\(",[,U+005B,2
"\(",{,U+007B,3
"\(",⁅,U+2045,4
"\(",⁽,U+207D,5
"\(",₍,U+208D,6
"\(",〈,U+2329,7
"\(",⎴,U+23B4,8
"\(",⟅,U+27C5,9
"\(",⟦,U+27E6,10
"\(",⟨,U+27E8,11
"\(",⟪,U+27EA,12
"\(",⦃,U+2983,13
"\(",〈,U+3008,14
"\(",《,U+300A,15
"\(",「,U+300C,16
"\(",『,U+300E,17
"\(",【,U+3010,18
"\(",〔,U+3014,19
"\(",〖,U+3016,20
"\(",〚,U+301A,21
"\(",︵,U+FE35,22
"\(",︷,U+FE37,23
"\(",︹,U+FE39,24
"\(",︻,U+FE3B,25
"\(",︽,U+FE3D,26
"\(",︿,U+FE3F,27
"\(",﹁,U+FE41,28
"\(",﹃,U+FE43,29
"\(",﹙,U+FE59,30
"\(",﹛,U+FE5B,31
"\(",﹝,U+FE5D,32
"\(",（,U+FF08,33
"\(",［,U+FF3B,34
"\(",｛,U+FF5B,35
"\(",｢,U+FF62,36
"\(",❪,U+276A,37
"\(",❬,U+276C,38
"\(",❰,U+2770,39
"\(",❲,U+2772,40
"\(",❴,U+2774,41
"\(",⟮,U+27EE,42
"\(",⦅,U+2985,43
"\(",⦗,U+2997,44
"\(",⧼,U+29FC,45
"\(",⸨,U+2E28,46
"\(",❮,U+276E,47
"\(",⦇,U+2987,48
"\(",⦉,U+2989,49
"\)",),U+0029,1
"\)",],U+005D,2
"\)",},U+007D,3
"\)",⁆,U+2046,4
"\)",⁾,U+207E,5
"\)",₎,U+208E,6
"\)",〉,U+232A,7
"\)",⎵,U+23B5,8
"\)",⟆,U+27C6,9
"\)",⟧,U+27E7,10
"\)",⟩,U+27E9,11
"\)",⟫,U+27EB,12
"\)",⦄,U+2984,13
"\)",〉,U+3009,14
"\)",》,U+300B,15
"\)",」,U+300D,16
"\)",』,U+300F,17
"\)",】,U+3011,18
"\)",〕,U+3015,19
"\)",〗,U+3017,20
"\)",〛,U+301B,21
"\)",︶,U+FE36,22
"\)",︸,U+FE38,23
"\)",︺,U+FE3A,24
"\)",︼,U+FE3C,25
"\)",︾,U+FE3E,26
"\)",﹀,U+FE40,27
"\)",﹂,U+FE42,28
"\)",﹄,U+FE44,29
"\)",﹚,U+FE5A,30
"\)",﹜,U+FE5C,31
"\)",﹞,U+FE5E,32
"\)",）,U+FF09,33
"\)",］,U+FF3D,34
"\)",｝,U+FF5D,35
"\)",｣,U+FF63,36
"\)",❫,U+276B,37
"\)",❭,U+276D,38
"\)",❱,U+2771,39
"\)",❳,U+2773,40
"\)",❵,U+2775,41
"\)",⟯,U+27EF,42
"\)",⦆,U+2986,43
"\)",⦘,U+2998,44
"\)",⧽,U+29FD,45
"\)",⸩,U+2E29,46
"\)",❯,U+276F,47
"\)",⦈,U+2988,48
"\)",⦊,U+298A,49
"\[[",⟦,U+27E6,1
"\]]",⟧,U+27E7,1
"\<",⟨,U+27E8,1
"\<",<,U+003C,2
"\<",≪,U+226A,3
"\<",⋘,U+22D8,4
"\<",≺,U+227A,5
"\<",⊂,U+2282,6
"\<",⋐,U+22D0,7
"\<",⊏,U+228F,8
"\<",⊰,U+22B0,9
"\<",⊲,U+22B2,10
"\<",⋖,U+22D6,11
"\<",＜,U+FF1C,12
"\>",⟩,U+27E9,1
"\>",>,U+003E,2
"\>",≫,U+226B,3
"\>",⋙,U+22D9,4
"\>",≻,U+227B,5
"\>",⊃,U+2283,6
"\>",⋑,U+22D1,7
"\>",⊐,U+2290,8
"\>",⊱,U+22B1,9
"\>",⊳,U+22B3,10
"\>",⋗,U+22D7,11
"\>",＞,U+FF1E,12
"\<<",⟪,U+27EA,1
"\>>",⟫,U+27EB,1
"\{{",⦃,U+2983,1
"\}}",⦄,U+2984,1
"\(b",⟅,U+27C5,1
"\)b",⟆,U+27C6,1
"\lbag",⟅,U+27C5,1
"\rbag",⟆,U+27C6,1
"\<|",⦉,U+2989,1
"\|>",⦊,U+298A,1
"\(|",⦇,U+2987,1
"\|)",⦈,U+2988,1
"\((",⦅,U+2985,1
"\((",｟,U+FF5F,2
"\))",⦆,U+2986,1
"\))",｠,U+FF60,2
"\'",′,U+2032,1
"\'",″,U+2033,2
"\'",‴,U+2034,3
"\'",⁗,U+2057,4
"\'",＇,U+FF07,5
"\`",‵,U+2035,1
"\`",‶,U+2036,2
"\`",‷,U+2037,3
"\`",｀,U+FF40,4
"\frac",¼,U+00BC,1
"\frac",½,U+00BD,2
"\frac",¾,U+00BE,3
"\frac",⅓,U+2153,4
"\frac",⅔,U+2154,5
"\frac",⅕,U+2155,6
"\frac",⅖,U+2156,7
"\frac",⅗,U+2157,8
"\frac",⅘,U+2158,9
"\frac",⅙,U+2159,10
"\frac",⅚,U+215A,11
"\frac",⅛,U+215B,12
"\frac",⅜,U+215C,13
"\frac",⅝,U+215D,14
"\frac",⅞,U+215E,15
"\frac",⅟,U+215F,16
"\bu",•,U+2022,1
"\bu",◦,U+25E6,2
"\bu",‣,U+2023,3
"\bu",⁌,U+204C,4
"\bu",⁍,U+204D,5
"\bub",•,U+2022,1
"\buw",◦,U+25E6,1
"\but",‣,U+2023,1
"\note",♩,U+2669,1
"\note",♪,U+266A,2
"\note",♫,U+266B,3
"\note",♬,U+266C,4
"\b",♭,U+266D,1
"\#",♯,U+266F,1
"\bb",𝄫,U+1D12B,1
"\##",𝄪,U+1D12A,1
"\\\",\,U+005C,1
"\en",–,U+2013,1
"\em",—,U+2014,1
"\!",！,U+FF01,1
"\!!",‼,U+203C,1
"\?",？,U+FF1F,1
"\??",⁇,U+2047,1
"\?!",‽,U+203D,1
"\?!",⁈,U+2048,2
"\!?",⁉,U+2049,1
"\die",⚀,U+2680,1
"\die",⚁,U+2681,2
"\die",⚂,U+2682,3
"\die",⚃,U+2683,4
"\die",⚄,U+2684,5
"\die",⚅,U+2685,6
"\asterisk",⁎,U+204E,1
"\asterisk",⁑,U+2051,2
"\asterisk",⁂,U+2042,3
"\asterisk",✢,U+2722,4
"\asterisk",✣,U+2723,5
"\asterisk",✤,U+2724,6
"\asterisk",✥,U+2725,7
"\asterisk",✱,U+2731,8
"\asterisk",✲,U+2732,9
"\asterisk",✳,U+2733,10
"\asterisk",✺,U+273A,11
"\asterisk",✻,U+273B,12
"\asterisk",✼,U+273C,13
"\asterisk",✽,U+273D,14
"\asterisk",❃,U+2743,15
"\asterisk",❉,U+2749,16
"\asterisk",❊,U+274A,17
"\asterisk",❋,U+274B,18
"\asterisk",＊,U+FF0A,19
"\8<",✂,U+2702,1
"\8<",✄,U+2704,2
"\tie",⁀,U+2040,1
"\undertie",‿,U+203F,1
"\apl",⌶,U+2336,1
"\apl",⌷,U+2337,2
"\apl",⌸,U+2338,3
"\apl",⌹,U+2339,4
"\apl",⌺,U+233A,5
"\apl",⌻,U+233B,6
"\apl",⌼,U+233C,7
"\apl",⌽,U+233D,8
"\apl",⌾,U+233E,9
"\apl",⌿,U+233F,10
"\apl",⍀,U+2340,11
"\apl",⍁,U+2341,12
"\apl",⍂,U+2342,13
"\apl",⍃,U+2343,14
"\apl",⍄,U+2344,15
"\apl",⍅,U+2345,16
"\apl",⍆,U+2346,17
"\apl",⍇,U+2347,18
"\apl",⍈,U+2348,19
"\apl",⍉,U+2349,20
"\apl",⍊,U+234A,21
"\apl",⍋,U+234B,22
"\apl",⍌,U+234C,23
"\apl",⍍,U+234D,24
"\apl",⍎,U+234E,25
"\apl",⍏,U+234F,26
"\apl",⍐,U+2350,27
"\apl",⍑,U+2351,28
"\apl",⍒,U+2352,29
"\apl",⍓,U+2353,30
"\apl",⍔,U+2354,31
"\apl",⍕,U+2355,32
"\apl",⍖,U+2356,33
"\apl",⍗,U+2357,34
"\apl",⍘,U+2358,35
"\apl",⍙,U+2359,36
"\apl",⍚,U+235A,37
"\apl",⍛,U+235B,38
"\apl",⍜,U+235C,39
"\apl",⍝,U+235D,40
"\apl",⍞,U+235E,41
"\apl",⍟,U+235F,42
"\apl",⍠,U+2360,43
"\apl",⍡,U+2361,44
"\apl",⍢,U+2362,45
"\apl",⍣,U+2363,46
"\apl",⍤,U+2364,47
"\apl",⍥,U+2365,48
"\apl",⍦,U+2366,49
"\apl",⍧,U+2367,50
"\apl",⍨,U+2368,51
"\apl",⍩,U+2369,52
"\apl",⍪,U+236A,53
"\apl",⍫,U+236B,54
"\apl",⍬,U+236C,55
"\apl",⍭,U+236D,56
"\apl",⍮,U+236E,57
"\apl",⍯,U+236F,58
"\apl",⍰,U+2370,59
"\apl",⍱,U+2371,60
"\apl",⍲,U+2372,61
"\apl",⍳,U+2373,62
"\apl",⍴,U+2374,63
"\apl",⍵,U+2375,64
"\apl",⍶,U+2376,65
"\apl",⍷,U+2377,66
"\apl",⍸,U+2378,67
"\apl",⍹,U+2379,68
"\apl",⍺,U+237A,69
"\apl",⎕,U+2395,70
"\#",＃,U+FF03,1
"\%",％,U+FF05,1
"\&",＆,U+FF06,1
"\*",＊,U+FF0A,1
"\/",／,U+FF0F,1
"\/",＼,U+FF3C,2
"\@",＠,U+FF20,1
"\__",＿,U+FF3F,1
"\\"",＂,U+FF02,1
"\crossmark",✗,U+2717,1
"\^--",̅,U+0305,1
"\^--",̿,U+033F,2
"\_--",̲,U+0332,1
"\_--",̳,U+0333,2
"\^~",̃,U+0303,1
"\^~",͌,U+034C,2
"\_~",̰,U+0330,1
"\^.",̇,U+0307,1
"\^.",̈,U+0308,2
"\^.",⃛,U+20DB,3
"\^.",⃜,U+20DC,4
"\_.",̣,U+0323,1
"\_.",̤,U+0324,2
"\^l",⃖,U+20D6,1
"\^l",⃐,U+20D0,2
"\^l",⃔,U+20D4,3
"\^l-",⃖,U+20D6,1
"\^r",⃗,U+20D7,1
"\^r",⃑,U+20D1,2
"\^r",⃕,U+20D5,3
"\^r-",⃗,U+20D7,1
"\^lr",⃡,U+20E1,1
"\_lr",͍,U+034D,1
"\^^",̂,U+0302,1
"\^^",̑,U+0311,2
"\^^",͆,U+0346,3
"\_^",̭,U+032D,1
"\_^",̯,U+032F,2
"\_^",̪,U+032A,3
"\^v",̌,U+030C,1
"\^v",̆,U+0306,2
"\_v",̬,U+032C,1
"\_v",̮,U+032E,2
"\_v",̺,U+033A,3
"\Ga",α,U+03B1,1
"\GA",Α,U+0391,1
"\Gb",β,U+03B2,1
"\GB",Β,U+0392,1
"\Gg",γ,U+03B3,1
"\GG",Γ,U+0393,1
"\Gd",δ,U+03B4,1
"\GD",Δ,U+0394,1
"\Ge",ε,U+03B5,1
"\GE",Ε,U+0395,1
"\Gz",ζ,U+03B6,1
"\GZ",Ζ,U+0396,1
"\Gh",η,U+03B7,1
"\GH",Η,U+0397,1
"\Gth",θ,U+03B8,1
"\GTH",Θ,U+0398,1
"\Gi",ι,U+03B9,1
"\GI",Ι,U+0399,1
"\Gk",κ,U+03BA,1
"\GK",Κ,U+039A,1
"\Gl",λ,U+03BB,1
"\GL",Λ,U+039B,1
"\Gl-",ƛ,U+019B,1
"\Gm",μ,U+03BC,1
"\GM",Μ,U+039C,1
"\Gn",ν,U+03BD,1
"\GN",Ν,U+039D,1
"\Gx",ξ,U+03BE,1
"\GX",Ξ,U+039E,1
"\Gr",ρ,U+03C1,1
"\GR",Ρ,U+03A1,1
"\Gs",σ,U+03C3,1
"\GS",Σ,U+03A3,1
"\Gt",τ,U+03C4,1
"\GT",Τ,U+03A4,1
"\Gu",υ,U+03C5,1
"\GU",Υ,U+03A5,1
"\Gf",φ,U+03C6,1
"\GF",Φ,U+03A6,1
"\Gc",χ,U+03C7,1
"\GC",Χ,U+03A7,1
"\Gp",ψ,U+03C8,1
"\GP",Ψ,U+03A8,1
"\Go",ω,U+03C9,1
"\GO",Ω,U+03A9,1
"\MiA",𝐴,U+1D434,1
"\MiB",𝐵,U+1D435,1
"\MiC",𝐶,U+1D436,1
"\MiD",𝐷,U+1D437,1
"\MiE",𝐸,U+1D438,1
"\MiF",𝐹,U+1D439,1
"\MiG",𝐺,U+1D43A,1
"\MiH",𝐻,U+1D43B,1
"\MiI",𝐼,U+1D43C,1
"\MiJ",𝐽,U+1D43D,1
"\MiK",𝐾,U+1D43E,1
"\MiL",𝐿,U+1D43F,1
"\MiM",𝑀,U+1D440,1
"\MiN",𝑁,U+1D441,1
"\MiO",𝑂,U+1D442,1
"\MiP",𝑃,U+1D443,1
"\MiQ",𝑄,U+1D444,1
"\MiR",𝑅,U+1D445,1
"\MiS",𝑆,U+1D446,1
"\MiT",𝑇,U+1D447,1
"\MiU",𝑈,U+1D448,1
"\MiV",𝑉,U+1D449,1
"\MiW",𝑊,U+1D44A,1
"\MiX",𝑋,U+1D44B,1
"\MiY",𝑌,U+1D44C,1
"\MiZ",𝑍,U+1D44D,1
"\Mia",𝑎,U+1D44E,1
"\Mib",𝑏,U+1D44F,1
"\Mic",𝑐,U+1D450,1
"\Mid",𝑑,U+1D451,1
"\Mie",𝑒,U+1D452,1
"\Mif",𝑓,U+1D453,1
"\Mig",𝑔,U+1D454,1
"\Mih",ℎ,U+210E,1
"\Mii",𝑖,U+1D456,1
"\Mij",𝑗,U+1D457,1
"\Mik",𝑘,U+1D458,1
"\Mil",𝑙,U+1D459,1
"\Mim",𝑚,U+1D45A,1
"\Min",𝑛,U+1D45B,1
"\Mio",𝑜,U+1D45C,1
"\Mip",𝑝,U+1D45D,1
"\Miq",𝑞,U+1D45E,1
"\Mir",𝑟,U+1D45F,1
"\Mis",𝑠,U+1D460,1
"\Mit",𝑡,U+1D461,1
"\Miu",𝑢,U+1D462,1
"\Miv",𝑣,U+1D463,1
"\Miw",𝑤,U+1D464,1
"\Mix",𝑥,U+1D465,1
"\Miy",𝑦,U+1D466,1
"\Miz",𝑧,U+1D467,1
"\MIA",𝑨,U+1D468,1
"\MIB",𝑩,U+1D469,1
"\MIC",𝑪,U+1D46A,1
"\MID",𝑫,U+1D46B,1
"\MIE",𝑬,U+1D46C,1
"\MIF",𝑭,U+1D46D,1
"\MIG",𝑮,U+1D46E,1
"\MIH",𝑯,U+1D46F,1
"\MII",𝑰,U+1D470,1
"\MIJ",𝑱,U+1D471,1
"\MIK",𝑲,U+1D472,1
"\MIL",𝑳,U+1D473,1
"\MIM",𝑴,U+1D474,1
"\MIN",𝑵,U+1D475,1
"\MIO",𝑶,U+1D476,1
"\MIP",𝑷,U+1D477,1
"\MIQ",𝑸,U+1D478,1
