Sequence,Character,Hex
"\member",⋼,U+22FC,17
"\member",⋽,U+22FD,18
"\member",⋾,U+22FE,19
"\member",⋿,U+22FF,20
"\inn",∉,U+2209,1
"\nin",∌,U+220C,1
"\intersection",∩,U+2229,1
"\intersection",⋂,U+22C2,2
"\intersection",∧,U+2227,3
"\intersection",⋀,U+22C0,4
"\intersection",⋏,U+22CF,5
"\intersection",⨇,U+2A07,6
"\intersection",⊓,U+2293,7
"\intersection",⨅,U+2A05,8
"\intersection",⋒,U+22D2,9
"\intersection",∏,U+220F,10
"\intersection",⊼,U+22BC,11
"\intersection",⨉,U+2A09,12
"\union",∪,U+222A,1
"\union",⋃,U+22C3,2
"\union",∨,U+2228,3
"\union",⋁,U+22C1,4
"\union",⋎,U+22CE,5
"\union",⨈,U+2A08,6
"\union",⊔,U+2294,7
"\union",⨆,U+2A06,8
"\union",⋓,U+22D3,9
"\union",∐,U+2210,10
"\union",⨿,U+2A3F,11
"\union",⊽,U+22BD,12
"\union",⊻,U+22BB,13
"\union",⊍,U+228D,14
"\union",⨃,U+2A03,15
"\union",⊎,U+228E,16
"\union",⨄,U+2A04,17
"\union",⊌,U+228C,18
"\union",∑,U+2211,19
"\union",⅀,U+2140,20
"\and",∧,U+2227,1
"\or",∨,U+2228,1
"\And",⋀,U+22C0,1
"\Or",⋁,U+22C1,1
"\i",∩,U+2229,1
"\un",∪,U+222A,1
"\u+",⊎,U+228E,1
"\u.",⊍,U+228D,1
"\I",⋂,U+22C2,1
"\Un",⋃,U+22C3,1
"\U+",⨄,U+2A04,1
"\U.",⨃,U+2A03,1
"\glb",⊓,U+2293,1
"\lub",⊔,U+2294,1
"\Glb",⨅,U+2A05,1
"\Lub",⨆,U+2A06,1
"\entails",⊢,U+22A2,1
"\entails",⊣,U+22A3,2
"\entails",⊤,U+22A4,3
"\entails",⊥,U+22A5,4
"\entails",⊦,U+22A6,5
"\entails",⊧,U+22A7,6
"\entails",⊨,U+22A8,7
"\entails",⊩,U+22A9,8
"\entails",⊪,U+22AA,9
"\entails",⊫,U+22AB,10
"\entails",⊬,U+22AC,11
"\entails",⊭,U+22AD,12
"\entails",⊮,U+22AE,13
"\entails",⊯,U+22AF,14
"\|-",⊢,U+22A2,1
"\|-n",⊬,U+22AC,1
"\-|",⊣,U+22A3,1
"\|=",⊨,U+22A8,1
"\|=n",⊭,U+22AD,1
"\||-",⊩,U+22A9,1
"\||-n",⊮,U+22AE,1
"\||=",⊫,U+22AB,1
"\||=n",⊯,U+22AF,1
"\|||-",⊪,U+22AA,1
"\|",∣,U+2223,1
"\|n",∤,U+2224,1
"\||",∥,U+2225,1
"\||n",∦,U+2226,1
"\all",∀,U+2200,1
"\ex",∃,U+2203,1
"\exn",∄,U+2204,1
"\0",∅,U+2205,1
"\C",∁,U+2201,1
"\uin",⟒,U+27D2,1
"\din",⫙,U+2AD9,1
"\c",⌜,U+231C,1
"\c",⌝,U+231D,2
